# id	f435w	f555w	f814w	f435w_err	f555w_err	f814w_err	ra	dec
5586	24.676	24.129	23.368	0.058	0.013	0.007	76.81335642	-67.47762197
9107	26.477	25.677	24.284	99	99	99	76.84231047	-67.47597163
12272	23.848	23.325	22.645	0.019	0.021	0.028	76.86505406	-67.47466768
18600	25.77	24.93	23.911	0.123	0.022	0.057	76.90059504	-67.47263123
9046	21.113	20.769	20.257	0.014	0.005	0.021	76.84179394	-67.47599242
12652	99	25.46	24.271	99	0.082	0.025	76.86749139	-67.47451895
10223	21.712	21.317	20.681	0.016	0.028	0.008	76.85084046	-67.47546955
33584	99	26.492	25.269	99	99	0.143	76.95352736	-67.46957298
6382	99	26.35	25.081	99	99	0.082	76.82039106	-67.47720311
13347	99	25.586	24.22	99	0.039	0.016	76.87203376	-67.47425619
15785	26.423	25.533	24.42	99	0.032	0.068	76.88647729	-67.47342863
30521	24.217	25.1	24.061	0.7	99	0.003	76.94288176	-67.47018242
30833	99	25.873	23.851	99	0.22	0.05	76.943912	-67.47012232
15449	99	25.87	24.575	99	0.132	0.07	76.88452166	-67.47353037
17157	99	25.814	24.512	99	0.082	0.051	76.89363302	-67.47300796
29906	25.667	24.931	23.93	0.059	99	0.042	76.94083368	-67.47029209
30523	25.74	25.1	24.061	0.291	99	0.003	76.94285871	-67.47017474
8242	99	25.507	24.193	99	0.005	0.066	76.83520544	-67.47634656
18487	99	26.028	25.206	99	99	0.048	76.89994793	-67.47263868
14431	23.552	23.053	22.323	99	99	99	76.87865218	-67.47385139
27630	99	25.988	24.467	99	0.051	0.025	76.93345635	-67.47070301
14674	25.855	25.025	23.858	99	99	99	76.88008727	-67.47376819
3641	22.828	22.329	21.659	0.023	0.009	0.026	76.79530363	-67.47860092
12875	24.633	24.003	23.163	0.046	0.012	0.036	76.86885326	-67.47441091
13226	21.467	21.163	20.737	0.021	0.01	0.025	76.87124407	-67.47427324
4252	26.015	25.373	24.376	99	0.017	0.017	76.80107555	-67.47827247
13434	26.987	26.134	24.708	99	0.117	0.035	76.87255223	-67.47419504
2296	23.972	23.422	22.619	0.031	0.023	0.016	76.78272407	-67.47930917
29138	99	26.038	24.869	99	0.212	0.068	76.93826144	-67.47041916
2613	23.622	23.105	22.373	0.029	0.054	0.005	76.78592088	-67.47912381
