# id	f435w	f555w	f814w	f435w_err	f555w_err	f814w_err	vsini	vsini uperr	vsini loerr	ra	dec
29979	19.822	18.988	17.951	0.004	0.007	0.019	6.193970375	126.0920327	362.6558917	76.89044872	-67.45850562
29987	18.777	17.633	16.278	0.004	0.034	0.017	9.129540391	9.415621354	26.52765815	76.89757314	-67.46014658
30011	19.996	19.157	18.138	0.005	0.013	0.008	6.287217666	99.60467002	286.2892852	76.88968058	-67.45828676
30057	20.636	20.365	20	0.014	0.017	0.03	9.823401836	42.3486027	118.7256613	76.89625508	-67.45977045
30017	21.257	21.003	20.641	0.011	0.014	0.005	3.046195609	368.1970209	1082.15906	76.90946376	-67.46287957
30211	19.898	19.044	18.045	0.003	0.009	0.008	4.45250046	100.5888167	292.8090151	76.88947498	-67.45804997
30318	21.416	21.134	20.782	0.012	0.01	0.017	0.959267684	1.42879E+11	4.25895E+11	76.89335808	-67.45885285
30369	21.428	21.123	20.671	0.004	0.013	0.021	9.377086976	196.6746085	553.1391272	76.89285091	-67.4586961
30435	19.262	18.173	16.925	0.003	0.014	0.008	4.815848898	106.3483281	308.8018347	76.89073573	-67.45814836
30494	21.511	21.01	20.276	0.021	0.022	0.025	7.907603644	105.6252287	300.1708372	76.91302916	-67.46327965
30603	21.592	21.296	20.924	0.031	0.01	0.007	7.268191263	229.3606248	654.7411367	76.8982422	-67.45973732
30542	19.895	19.034	18.025	0.002	0.003	0.01	8.779533838	9.714930412	27.43894003	76.88189733	-67.4559926
30675	18.926	17.824	16.528	0.005	0.015	0.015	5.004378339	137.2206978	397.9280077	76.8754762	-67.45436396
31261	21.542	21.246	20.851	0.011	0.021	0.007	5.610870863	379.7469028	1096.626492	76.89651127	-67.45869586
31407	21.527	21.224	20.808	0.021	0.02	0.009	1.266170975	15647322713	46545724421	76.8768567	-67.45398967
31396	19.978	19.124	18.118	0.008	0.008	0.014	6.025864323	61.12787682	176.0166646	76.89310562	-67.45778155
31529	20.74	20.468	20.074	0.007	0.002	0.012	5.575933758	234.0817013	676.1406226	76.8927696	-67.45757416
31587	21.133	20.314	19.342	0.002	0.011	0.002	6.475856729	127.9951119	367.4077755	76.89934113	-67.45902787
31472	18.338	16.989	15.541	0.008	0.017	0.02	5.066233355	158.7262833	460.0959622	76.87548978	-67.45360687
31730	21.429	21.146	20.78	0.016	0.019	0.016	3.794393202	468.6482682	1370.380088	76.89415626	-67.4576703
31815	18.192	16.833	15.299	0.007	0.039	0.06	8.77176009	13.10773051	37.02363419	76.9076071	-67.4607043
32071	18.716	18.694	18.645	0.003	0.005	0.008	6.802650722	82.44944333	236.1308347	76.90268175	-67.45929156
32274	20.806	20.517	20.136	0.012	0.008	0.02	5.433855824	202.2653352	584.8143922	76.8866794	-67.45537334
32320	22.256	21.911	21.413	0.017	0.012	0.013	6.517093976	590.6882517	1695.073338	76.8901909	-67.45614653
32323	19.992	19.171	18.175	0.003	0.008	0.013	4.989709371	105.1202557	304.8703767	76.90273784	-67.45906098
32409	19.209	18.211	17.001	0.009	0.017	0.006	9.397880523	10.51917553	29.58036749	76.89430179	-67.45701116
32451	21.52	21.242	20.819	0.017	0.028	0.01	4.954653789	441.6558999	1281.202658	76.90225419	-67.4588236
32614	19.79	18.916	17.921	0.009	0.006	0.021	5.7845462	87.22127545	251.5731164	76.88630868	-67.45496305
32699	18.558	17.252	15.745	0.003	0.032	0.016	5.862546549	19.60177733	56.50700535	76.90301474	-67.45875921
32814	20.949	20.689	20.321	0.003	0.003	0.011	5.047382613	201.6913555	584.7137978	76.88999859	-67.45560044
32808	21.57	21.279	20.884	0.006	0.016	0.013	7.765885999	230.6181267	656.0352984	76.90779093	-67.45974639
32897	19.895	19.042	18.042	0.007	0.008	0.007	1.058524974	8692373822	25893099571	76.89335681	-67.45630607
32891	18.186	16.582	14.717	0.001	0.012	0.026	4.237705207	180.5756701	526.4224811	76.90039057	-67.45795219
33077	19.794	18.84	17.711	0.004	0.009	0.005	2.841427265	114.7757928	337.8048371	76.90109937	-67.45792471
33088	21.054	20.803	20.433	0.007	0.027	0.011	7.29608107	194.1013324	553.9804162	76.89647564	-67.4568343
33226	20.829	20.522	20.104	0.013	0.012	0.018	0.970009304	6447483378	19217367756	76.9080401	-67.45938869
33347	21.842	21.49	21.058	0.003	0.007	0.017	5.967238503	444.0872527	1279.262267	76.90927842	-67.45953751
33367	20.3	19.996	19.587	0.012	0.007	0.013	6.695008039	51.80095423	148.4667066	76.90306459	-67.45807263
33447	21.513	21.211	20.847	0.011	0.011	0.022	2.362143474	22648.09207	66874.31534	76.88577506	-67.45396273
33461	21.258	20.994	20.632	0.003	0.013	0.008	5.189316449	386.5022485	1119.393096	76.89650501	-67.45644832
33558	20.055	19.193	18.184	0.009	0.017	0.01	8.296267795	24.96386821	70.74946591	76.89310968	-67.45556926
33682	21.53	21.228	20.822	0.01	0.007	0.013	0.43215229	22675669436	67831021458	76.89059581	-67.45484521
33766	19.057	17.942	16.665	0.004	0.025	0.01	6.828794615	48.01790359	137.4956227	76.90393465	-67.45785801
34133	20.619	20.274	19.839	0.011	0.007	0.008	6.513222764	167.3501079	480.2505531	76.89710242	-67.45587523
34406	21.342	21.018	20.644	0.012	0.009	0.002	6.517305218	242.2832362	695.2690327	76.90184527	-67.45669404
34667	20.042	19.101	18.005	0.01	0.006	0.002	8.09707841	28.24844514	80.17073791	76.8963022	-67.45513681
34660	20.004	19.156	18.136	0.023	0.006	0.013	6.284246763	93.33109099	268.2629608	76.90386201	-67.45691017
34669	21.283	21.024	20.654	0.006	0.031	0.006	6.814551244	198.6501377	568.8761823	76.9099179	-67.45829979
34677	19.886	19.709	19.497	0.006	0.016	0.017	3.991585811	106.9626488	312.3489347	76.90882088	-67.4580403
34802	19.963	19.117	18.101	0.008	0.011	0.009	5.801604887	106.9082036	308.3198276	76.89133205	-67.45383318
34898	21.487	21.19	20.774	0.011	0.018	0.007	7.984900949	150.5052949	427.4804873	76.89824491	-67.45534591
34972	19.796	18.805	17.685	0.006	0.01	0.01	7.541942293	8.786979919	25.03552185	76.90092067	-67.45589471
35372	19.926	19.086	18.077	0.01	0.008	0.017	7.929128736	20.68920539	58.7866687	76.90547457	-67.45650739
35939	21.181	20.895	20.546	0.014	0.008	0.019	0.912882846	54239858521	1.61729E+11	76.91051725	-67.45700341
35993	18.971	17.835	16.514	0.005	0.023	0.006	5.196897016	116.1831615	336.473646	76.91204749	-67.45728457
37054	21.111	20.834	20.456	0.007	0.008	0.01	3.550112726	257.9951971	755.6673505	76.90334715	-67.45390588
38002	20.026	19.17	18.121	0.008	0.009	0.014	5.394263632	117.8477665	340.829261	76.9078795	-67.45368248
