# id	f435w	f555w	f814w	f435w_err	f555w_err	f814w_err	vsini	vsini uperr	vsini loerr	ra	dec
24292	20.768	20.504	20.059	0.014	0.013	0.011	130.0628021	11.4415103	11.4415103	76.89361905	-67.46461608
24315	21.218	20.936	20.578	0.031	0.009	0.018	39.25090654	21.04257104	46.60891333	76.88840325	-67.46337539
24326	20.195	19.853	19.434	0.011	0.01	0.012	78.19409485	7.251722045	10.41432931	76.89792302	-67.46557774
24317	21.402	21.043	20.58	0.013	0.018	0.077	56.23636264	15.37674634	28.83559335	76.87758266	-67.4608554
24271	20.462	20.225	19.892	0.01	0.016	0.023	90.9596513	11.07248565	13.07446828	76.90499297	-67.4672846
24346	21.326	21.014	20.543	0.011	0.011	0.003	84.51694395	18.18308228	23.81367592	76.90586065	-67.46740727
24247	20.709	20.444	20.062	0.008	0.012	0.01	104.181574	11.9769788	11.9769788	76.89496374	-67.46497514
24391	20.99	20.735	20.357	0.006	0.006	0.019	86.00857654	17.83026563	22.81968157	76.9100742	-67.46835751
24415	21.904	21.61	21.147	0.033	0.021	0.004	30.09320501	43.35213067	103.9643009	76.91106785	-67.46856301
24416	20.171	19.821	19.285	0.003	0.01	0.024	93.60276668	6.28880844	7.093427938	76.88810896	-67.46322666
24431	22.118	21.644	20.964	0.011	0.01	0.014	38.56855635	37.25339702	83.02399621	76.89687176	-67.46524568
24480	20.584	20.341	19.989	0.004	0.01	0.007	84.80640612	12.18061203	15.88195748	76.88151848	-67.46162696
24453	20.712	20.445	20.057	0.005	0.003	0.016	114.4827516	19.57430751	19.57430751	76.89813095	-67.46551419
24443	21.628	21.328	20.919	0.002	0.009	0.02	157.4086311	37.68642702	37.68642702	76.87291792	-67.45966226
24451	20.71	20.46	20.1	0.01	0.019	0.016	92.10469115	19.07833843	22.09092591	76.90267914	-67.4665724
24468	21.201	20.912	20.554	0.005	0.02	0.01	74.85364293	19.49239224	29.29564535	76.89335939	-67.46438973
24479	21.801	21.476	20.982	0.009	0.012	0.02	81.30969501	26.4688914	36.36312446	76.9114726	-67.46859146
24491	20.314	19.999	19.567	0.008	0.008	0.022	87.66940162	9.598442446	11.96553322	76.88632958	-67.46273477
24475	19.934	19.104	18.088	0.005	0.013	0.012	44.90071871	3.739493722	7.860362052	76.90516703	-67.46712856
24455	19.937	19.083	18.062	0.009	0.007	0.014	11.7669172	8.577125663	23.71285044	76.87682053	-67.46055728
24498	21.029	20.654	20.172	0.018	0.016	0.017	155.6384664	29.87472487	29.87472487	76.90717116	-67.46757489
24473	20.816	20.555	20.188	0.015	0.004	0.045	84.76094331	29.30869583	38.24143337	76.90698862	-67.46755346
24506	21.897	21.565	21.097	0.005	0.006	0.011	109.2295506	16.50162668	16.50162668	76.87521759	-67.46013492
24497	21.028	20.779	20.457	0.013	0.019	0.053	45.73137243	23.35474402	48.70334212	76.89284183	-67.46424458
